ID,Group,Input Pattern,Input Ingredients,Output Item,Width,Height
botania:biomestonea11slab_0,,AAA,A: botania:biomestonea:11,botania:biomestonea11slab x6,3,1
botania:biomestonea11stairs,,"--A
-AA
AAA",A: botania:biomestonea:11,botania:biomestonea11stairs x8,3,3
botania:biomestonea12slab_0,,AAA,A: botania:biomestonea:12,botania:biomestonea12slab x6,3,1
botania:biomestonea12stairs,,"--A
-AA
AAA",A: botania:biomestonea:12,botania:biomestonea12stairs x8,3,3
botania:biomestonea13slab_0,,AAA,A: botania:biomestonea:13,botania:biomestonea13slab x6,3,1
botania:biomestonea13stairs,,"--A
-AA
AAA",A: botania:biomestonea:13,botania:biomestonea13stairs x8,3,3
botania:biomestonea14slab_0,,AAA,A: botania:biomestonea:14,botania:biomestonea14slab x6,3,1
botania:biomestonea14stairs,,"--A
-AA
AAA",A: botania:biomestonea:14,botania:biomestonea14stairs x8,3,3
botania:biomestonea15slab_0,,AAA,A: botania:biomestonea:15,botania:biomestonea15slab x6,3,1
botania:biomestonea15stairs,,"--A
-AA
AAA",A: botania:biomestonea:15,botania:biomestonea15stairs x8,3,3
botania:biomestonea1slab_0,,AAA,A: botania:biomestonea:1,botania:biomestonea1slab x6,3,1
botania:biomestonea1stairs,,"--A
-AA
AAA",A: botania:biomestonea:1,botania:biomestonea1stairs x8,3,3
botania:biomestonea2slab_0,,AAA,A: botania:biomestonea:2,botania:biomestonea2slab x6,3,1
botania:biomestonea2stairs,,"--A
-AA
AAA",A: botania:biomestonea:2,botania:biomestonea2stairs x8,3,3
botania:biomestonea3slab_0,,AAA,A: botania:biomestonea:3,botania:biomestonea3slab x6,3,1
botania:biomestonea3stairs,,"--A
-AA
AAA",A: botania:biomestonea:3,botania:biomestonea3stairs x8,3,3
botania:biomestonea4slab_0,,AAA,A: botania:biomestonea:4,botania:biomestonea4slab x6,3,1
botania:biomestonea4stairs,,"--A
-AA
AAA",A: botania:biomestonea:4,botania:biomestonea4stairs x8,3,3
botania:biomestonea5slab_0,,AAA,A: botania:biomestonea:5,botania:biomestonea5slab x6,3,1
botania:biomestonea5stairs,,"--A
-AA
AAA",A: botania:biomestonea:5,botania:biomestonea5stairs x8,3,3
botania:biomestonea6slab_0,,AAA,A: botania:biomestonea:6,botania:biomestonea6slab x6,3,1
botania:biomestonea6stairs,,"--A
-AA
AAA",A: botania:biomestonea:6,botania:biomestonea6stairs x8,3,3
botania:biomestonea7slab_0,,AAA,A: botania:biomestonea:7,botania:biomestonea7slab x6,3,1
botania:biomestonea7stairs,,"--A
-AA
AAA",A: botania:biomestonea:7,botania:biomestonea7stairs x8,3,3
botania:biomestonea8slab_0,,AAA,A: botania:biomestonea:8,botania:biomestonea8slab x6,3,1
botania:biomestonea8stairs,,"--A
-AA
AAA",A: botania:biomestonea:8,botania:biomestonea8stairs x8,3,3
botania:biomestonea9slab_0,,AAA,A: botania:biomestonea:9,botania:biomestonea9slab x6,3,1
botania:biomestonea9stairs,,"--A
-AA
AAA",A: botania:biomestonea:9,botania:biomestonea9stairs x8,3,3
botania:slab_recombine/biomestonea_1,,"A
A",A: botania:biomestonea1slab,botania:biomestonea:1,1,2
botania:slab_recombine/biomestonea_10,,"A
A",A: botania:biomestonea10slab,botania:biomestonea:10,1,2
botania:slab_recombine/biomestonea_11,,"A
A",A: botania:biomestonea11slab,botania:biomestonea:11,1,2
botania:slab_recombine/biomestonea_12,,"A
A",A: botania:biomestonea12slab,botania:biomestonea:12,1,2
botania:slab_recombine/biomestonea_13,,"A
A",A: botania:biomestonea13slab,botania:biomestonea:13,1,2
botania:slab_recombine/biomestonea_14,,"A
A",A: botania:biomestonea14slab,botania:biomestonea:14,1,2
botania:slab_recombine/biomestonea_15,,"A
A",A: botania:biomestonea15slab,botania:biomestonea:15,1,2
botania:slab_recombine/biomestonea_2,,"A
A",A: botania:biomestonea2slab,botania:biomestonea:2,1,2
botania:slab_recombine/biomestonea_3,,"A
A",A: botania:biomestonea3slab,botania:biomestonea:3,1,2
botania:slab_recombine/biomestonea_4,,"A
A",A: botania:biomestonea4slab,botania:biomestonea:4,1,2
botania:slab_recombine/biomestonea_5,,"A
A",A: botania:biomestonea5slab,botania:biomestonea:5,1,2
botania:slab_recombine/biomestonea_6,,"A
A",A: botania:biomestonea6slab,botania:biomestonea:6,1,2
botania:slab_recombine/biomestonea_7,,"A
A",A: botania:biomestonea7slab,botania:biomestonea:7,1,2
botania:slab_recombine/biomestonea_8,,"A
A",A: botania:biomestonea8slab,botania:biomestonea:8,1,2
botania:slab_recombine/biomestonea_9,,"A
A",A: botania:biomestonea9slab,botania:biomestonea:9,1,2
botania:slab_recombine/biomestoneb_0,,"A
A",A: botania:biomestoneb0slab,botania:biomestoneb,1,2
botania:biomestoneb_0,,"AA
AA",A: botania:biomestonea,botania:biomestoneb x4,2,2
botania:biomestoneb0slab_0,,AAA,A: botania:biomestoneb,botania:biomestoneb0slab x6,3,1
botania:biomestoneb0stairs,,"--A
-AA
AAA",A: botania:biomestoneb,botania:biomestoneb0stairs x8,3,3
botania:biomestoneb1slab_0,,AAA,A: botania:biomestoneb:1,botania:biomestoneb1slab x6,3,1
botania:biomestoneb1stairs,,"--A
-AA
AAA",A: botania:biomestoneb:1,botania:biomestoneb1stairs x8,3,3
botania:biomestoneb2slab_0,,AAA,A: botania:biomestoneb:2,botania:biomestoneb2slab x6,3,1
botania:biomestoneb2stairs,,"--A
-AA
AAA",A: botania:biomestoneb:2,botania:biomestoneb2stairs x8,3,3
botania:biomestoneb3slab_0,,AAA,A: botania:biomestoneb:3,botania:biomestoneb3slab x6,3,1
botania:biomestoneb3stairs,,"--A
-AA
AAA",A: botania:biomestoneb:3,botania:biomestoneb3stairs x8,3,3
botania:biomestoneb4slab_0,,AAA,A: botania:biomestoneb:4,botania:biomestoneb4slab x6,3,1
botania:biomestoneb4stairs,,"--A
-AA
AAA",A: botania:biomestoneb:4,botania:biomestoneb4stairs x8,3,3
botania:biomestoneb5slab_0,,AAA,A: botania:biomestoneb:5,botania:biomestoneb5slab x6,3,1
botania:biomestoneb5stairs,,"--A
-AA
AAA",A: botania:biomestoneb:5,botania:biomestoneb5stairs x8,3,3
botania:biomestoneb6slab_0,,AAA,A: botania:biomestoneb:6,botania:biomestoneb6slab x6,3,1
botania:biomestoneb6stairs,,"--A
-AA
AAA",A: botania:biomestoneb:6,botania:biomestoneb6stairs x8,3,3
botania:biomestoneb7slab_0,,AAA,A: botania:biomestoneb:7,botania:biomestoneb7slab x6,3,1
botania:biomestoneb7stairs,,"--A
-AA
AAA",A: botania:biomestoneb:7,botania:biomestoneb7stairs x8,3,3
botania:slab_recombine/biomestoneb_1,,"A
A",A: botania:biomestoneb1slab,botania:biomestoneb:1,1,2
botania:biomestoneb_1,,"AA
AA",A: botania:biomestonea:1,botania:biomestoneb:1 x4,2,2
botania:biomestoneb_10,,"AA
AA",A: botania:biomestoneb:2,botania:biomestoneb:10 x4,2,2
botania:biomestoneb_11,,"AA
AA",A: botania:biomestoneb:3,botania:biomestoneb:11 x4,2,2
botania:biomestoneb_12,,"AA
AA",A: botania:biomestoneb:4,botania:biomestoneb:12 x4,2,2
botania:biomestoneb_13,,"AA
AA",A: botania:biomestoneb:5,botania:biomestoneb:13 x4,2,2
botania:biomestoneb_14,,"AA
AA",A: botania:biomestoneb:6,botania:biomestoneb:14 x4,2,2
botania:biomestoneb_15,,"AA
AA",A: botania:biomestoneb:7,botania:biomestoneb:15 x4,2,2
botania:slab_recombine/biomestoneb_2,,"A
A",A: botania:biomestoneb2slab,botania:biomestoneb:2,1,2
botania:biomestoneb_2,,"AA
AA",A: botania:biomestonea:2,botania:biomestoneb:2 x4,2,2
botania:slab_recombine/biomestoneb_3,,"A
A",A: botania:biomestoneb3slab,botania:biomestoneb:3,1,2
botania:biomestoneb_3,,"AA
AA",A: botania:biomestonea:3,botania:biomestoneb:3 x4,2,2
botania:slab_recombine/biomestoneb_4,,"A
A",A: botania:biomestoneb4slab,botania:biomestoneb:4,1,2
botania:biomestoneb_4,,"AA
AA",A: botania:biomestonea:4,botania:biomestoneb:4 x4,2,2
botania:slab_recombine/biomestoneb_5,,"A
A",A: botania:biomestoneb5slab,botania:biomestoneb:5,1,2
botania:biomestoneb_5,,"AA
AA",A: botania:biomestonea:5,botania:biomestoneb:5 x4,2,2
botania:slab_recombine/biomestoneb_6,,"A
A",A: botania:biomestoneb6slab,botania:biomestoneb:6,1,2
botania:biomestoneb_6,,"AA
AA",A: botania:biomestonea:6,botania:biomestoneb:6 x4,2,2
botania:slab_recombine/biomestoneb_7,,"A
A",A: botania:biomestoneb7slab,botania:biomestoneb:7,1,2
botania:biomestoneb_7,,"AA
AA",A: botania:biomestonea:7,botania:biomestoneb:7 x4,2,2
botania:biomestoneb_8,,"AA
AA",A: botania:biomestoneb,botania:biomestoneb:8 x4,2,2
botania:biomestoneb_9,,"AA
AA",A: botania:biomestoneb:1,botania:biomestoneb:9 x4,2,2
botania:blackholetalisman_0,,"-A-
BCB
-B-","A: ore:eternalLifeEssence
B: ore:ingotElvenElementium
C: ore:bEnderAirBottle",botania:blackholetalisman {},3,3
botania:blazeblock,,"AAA
AAA
AAA",A: ore:rodBlaze,botania:blazeblock,3,3
botania:bloodpendant,,"-A-
ABA
CA-","A: ore:gemPrismarine
B: minecraft:ghast_tear
C: ore:manaDiamond",botania:bloodpendant,3,3
botania:brewery,,"ABA
ACA
ADA","A: ore:livingrock
B: minecraft:brewing_stand
C: ore:runeManaB
D: botania:storage",botania:brewery,3,3
botania:cacophonium,,"-A-
ABA
AA-","A: minecraft:gold_ingot | railcraft:ingot:9
B: minecraft:noteblock",botania:cacophonium {},3,3
botania:clip,,"-A-
A-A
AA-",A: ore:dreamwood,botania:clip,3,3
botania:cloudpendant,,"AB-
B-B
CBD","A: ore:runeAutumnB
B: ore:manaString
C: ore:ingotManasteel
D: ore:runeAirB",botania:cloudpendant,3,3
botania:cobblerod,,"-AB
-CD
C--","A: ore:runeFireB
B: ore:cobblestone
C: ore:livingwoodTwig
D: ore:runeWaterB",botania:cobblerod,3,3
botania:cocoon,,"AAA
BCB
ADA","A: minecraft:string
B: ore:clothManaweave
C: botania:felpumpkin
D: ore:elvenPixieDust",botania:cocoon,3,3
botania:conjurationcatalyst,,"ABA
CDC
ACA","A: ore:livingrock
B: ore:elvenPixieDust
C: ore:ingotElvenElementium
D: botania:alchemycatalyst",botania:conjurationcatalyst,3,3
botania:corporeacrystalcube,,"A
B
C","A: botania:corporeaspark
B: botania:elfglass
C: ore:dreamwood",botania:corporeacrystalcube,1,3
botania:corporeaindex,,"ABA
BCB
DBD","A: ore:bEnderAirBottle
B: ore:obsidian
C: botania:corporeaspark
D: ore:elvenDragonstone",botania:corporeaindex,3,3
botania:cosmetic_0,,"AAA
ABA
AAA","A: botania:petal
B: ore:manaString",botania:cosmetic,3,3
botania:cosmetic_1,,"AAA
ABA
AAA","A: botania:petal:1
B: ore:manaString",botania:cosmetic:1,3,3
botania:cosmetic_10,,"AAA
ABA
AAA","A: botania:petal:10
B: ore:manaString",botania:cosmetic:10,3,3
botania:cosmetic_11,,"AAA
ABA
AAA","A: botania:petal:11
B: ore:manaString",botania:cosmetic:11,3,3
botania:cosmetic_12,,"AAA
ABA
AAA","A: botania:petal:12
B: ore:manaString",botania:cosmetic:12,3,3
botania:cosmetic_13,,"AAA
ABA
AAA","A: botania:petal:13
B: ore:manaString",botania:cosmetic:13,3,3
botania:cosmetic_14,,"AAA
ABA
AAA","A: botania:petal:14
B: ore:manaString",botania:cosmetic:14,3,3
botania:cosmetic_15,,"AAA
ABA
AAA","A: botania:petal:15
B: ore:manaString",botania:cosmetic:15,3,3
botania:cosmetic_16,,"AAA
ABA
AAA","A: botania:dye
B: ore:manaString",botania:cosmetic:16,3,3
botania:cosmetic_17,,"AAA
ABA
AAA","A: botania:dye:1
B: ore:manaString",botania:cosmetic:17,3,3
botania:cosmetic_18,,"AAA
ABA
AAA","A: botania:dye:2
B: ore:manaString",botania:cosmetic:18,3,3
botania:cosmetic_19,,"AAA
ABA
AAA","A: botania:dye:3
B: ore:manaString",botania:cosmetic:19,3,3
botania:cosmetic_2,,"AAA
ABA
AAA","A: botania:petal:2
B: ore:manaString",botania:cosmetic:2,3,3
botania:cosmetic_20,,"AAA
ABA
AAA","A: botania:dye:4
B: ore:manaString",botania:cosmetic:20,3,3
botania:cosmetic_21,,"AAA
ABA
AAA","A: botania:dye:5
B: ore:manaString",botania:cosmetic:21,3,3
botania:cosmetic_22,,"AAA
ABA
AAA","A: botania:dye:6
B: ore:manaString",botania:cosmetic:22,3,3
botania:cosmetic_23,,"AAA
ABA
AAA","A: botania:dye:7
B: ore:manaString",botania:cosmetic:23,3,3
botania:cosmetic_24,,"AAA
ABA
AAA","A: botania:dye:8
B: ore:manaString",botania:cosmetic:24,3,3
botania:cosmetic_25,,"AAA
ABA
AAA","A: botania:dye:9
B: ore:manaString",botania:cosmetic:25,3,3
botania:cosmetic_26,,"AAA
ABA
AAA","A: botania:dye:10
B: ore:manaString",botania:cosmetic:26,3,3
botania:cosmetic_27,,"AAA
ABA
AAA","A: botania:dye:11
B: ore:manaString",botania:cosmetic:27,3,3
botania:cosmetic_28,,"AAA
ABA
AAA","A: botania:dye:12
B: ore:manaString",botania:cosmetic:28,3,3
botania:cosmetic_29,,"AAA
ABA
AAA","A: botania:dye:13
B: ore:manaString",botania:cosmetic:29,3,3
botania:cosmetic_3,,"AAA
ABA
AAA","A: botania:petal:3
B: ore:manaString",botania:cosmetic:3,3,3
botania:cosmetic_30,,"AAA
ABA
AAA","A: botania:dye:14
B: ore:manaString",botania:cosmetic:30,3,3
botania:cosmetic_31,,"AAA
ABA
AAA","A: botania:dye:15
B: ore:manaString",botania:cosmetic:31,3,3
botania:cosmetic_32,,"AAA
ABA
AAA","A: botania:tinypotato
B: ore:manaString",botania:cosmetic:32,3,3
botania:cosmetic_4,,"AAA
ABA
AAA","A: botania:petal:4
B: ore:manaString",botania:cosmetic:4,3,3
botania:cosmetic_5,,"AAA
ABA
AAA","A: botania:petal:5
B: ore:manaString",botania:cosmetic:5,3,3
botania:cosmetic_6,,"AAA
ABA
AAA","A: botania:petal:6
B: ore:manaString",botania:cosmetic:6,3,3
botania:cosmetic_7,,"AAA
ABA
AAA","A: botania:petal:7
B: ore:manaString",botania:cosmetic:7,3,3
botania:cosmetic_8,,"AAA
ABA
AAA","A: botania:petal:8
B: ore:manaString",botania:cosmetic:8,3,3
botania:cosmetic_9,,"AAA
ABA
AAA","A: botania:petal:9
B: ore:manaString",botania:cosmetic:9,3,3
botania:craftinghalo,,"-A-
BCB
-B-","A: ore:manaPearl
B: ore:ingotManasteel
C: ore:workbench",botania:craftinghalo,3,3
botania:craftpattern_0,botania:craftpattern,"ABB
BBB
BBB","A: ore:dustRedstone
B: ore:bPlaceholder",botania:craftpattern,3,3
botania:craftpattern_1,botania:craftpattern,"AAB
AAB
BBB","A: ore:dustRedstone
B: ore:bPlaceholder",botania:craftpattern:1,3,3
botania:craftpattern_2,botania:craftpattern,"ABB
ABB
BBB","A: ore:dustRedstone
B: ore:bPlaceholder",botania:craftpattern:2,3,3
botania:craftpattern_3,botania:craftpattern,"AAB
BBB
BBB","A: ore:dustRedstone
B: ore:bPlaceholder",botania:craftpattern:3,3,3
botania:craftpattern_4,botania:craftpattern,"ABB
ABB
ABB","A: ore:dustRedstone
B: ore:bPlaceholder",botania:craftpattern:4,3,3
botania:craftpattern_5,botania:craftpattern,"AAA
BBB
BBB","A: ore:dustRedstone
B: ore:bPlaceholder",botania:craftpattern:5,3,3
botania:craftpattern_6,botania:craftpattern,"AAB
AAB
AAB","A: ore:dustRedstone
B: ore:bPlaceholder",botania:craftpattern:6,3,3
botania:craftpattern_7,botania:craftpattern,"AAA
AAA
BBB","A: ore:dustRedstone
B: ore:bPlaceholder",botania:craftpattern:7,3,3
botania:craftpattern_8,botania:craftpattern,"AAA
ABA
AAA","A: ore:dustRedstone
B: ore:bPlaceholder",botania:craftpattern:8,3,3
botania:crystalbow,,"-AB
C-B
-AB","A: ore:elvenDragonstone
B: ore:manaString
C: ore:livingwoodTwig",botania:crystalbow,3,3
botania:dirtrod,,"--A
-B-
C--","A: minecraft:dirt
B: ore:livingwoodTwig
C: ore:runeEarthB",botania:dirtrod,3,3
botania:distributor,,"AAA
B-B
AAA","A: ore:livingrock
B: ore:ingotManasteel",botania:distributor,3,3
botania:divacharm,,"ABC
-DB
-BA","A: ore:eternalLifeEssence
B: ore:ingotGold
C: botania:tinyplanet
D: ore:runePrideB",botania:divacharm,3,3
botania:diviningrod,,"-AB
-AA
A--","A: ore:livingwoodTwig
B: ore:manaDiamond",botania:diviningrod,3,3
botania:dodgering,,"AB-
B-B
-BC","A: ore:gemEmerald
B: ore:ingotManasteel
C: ore:runeAirB",botania:dodgering,3,3
botania:slab_recombine/dreamwood_0,,"A
A",A: botania:dreamwood0slab,botania:dreamwood,1,2
botania:dreamwood0slab_0,,AAA,A: botania:dreamwood,botania:dreamwood0slab x6,3,1
botania:dreamwood0stairs,,"--A
-AA
AAA",A: botania:dreamwood,botania:dreamwood0stairs x8,3,3
botania:dreamwood0wall,,"AAA
AAA",A: botania:dreamwood,botania:dreamwood0wall x6,3,2
botania:dreamwood1slab_0,,AAA,A: botania:dreamwood:1,botania:dreamwood1slab x6,3,1
botania:dreamwood1stairs,,"--A
-AA
AAA",A: botania:dreamwood:1,botania:dreamwood1stairs x8,3,3
botania:slab_recombine/dreamwood_1,,"A
A",A: botania:dreamwood1slab,botania:dreamwood:1,1,2
botania:dreamwood_3,,"AA
AA",A: botania:dreamwood:1,botania:dreamwood:3 x4,2,2
botania:dreamwood_4,,"-A-
A-A
-A-",A: botania:dreamwood:1,botania:dreamwood:4 x4,3,3
botania:elementiumaxe,,"AA
BA
B-","A: ore:ingotElvenElementium
B: ore:dreamwoodTwig",botania:elementiumaxe,2,3
botania:elementiumboots,,"A-A
A-A",A: ore:ingotElvenElementium,botania:elementiumboots,3,2
botania:elementiumchest,,"A-A
AAA
AAA",A: ore:ingotElvenElementium,botania:elementiumchest,3,3
botania:elementiumhelm,,"AAA
A-A",A: ore:ingotElvenElementium,botania:elementiumhelm,3,2
botania:elementiumlegs,,"AAA
A-A
A-A",A: ore:ingotElvenElementium,botania:elementiumlegs,3,3
botania:elementiumpick,,"AAA
-B-
-B-","A: ore:ingotElvenElementium
B: ore:dreamwoodTwig",botania:elementiumpick,3,3
botania:elementiumshears,,"A-
-A",A: ore:ingotElvenElementium,botania:elementiumshears,2,2
botania:elementiumshovel,,"A
B
B","A: ore:ingotElvenElementium
B: ore:dreamwoodTwig",botania:elementiumshovel,1,3
botania:elementiumsword,,"A
A
B","A: ore:ingotElvenElementium
B: ore:dreamwoodTwig",botania:elementiumsword,1,3
botania:elfglasspane,,"AAA
AAA",A: botania:elfglass,botania:elfglasspane x16,3,2
botania:enderdagger,,"A
B
C","A: ore:manaPearl
B: ore:ingotManasteel
C: ore:livingwoodTwig",botania:enderdagger,1,3
botania:endereyeblock,,"ABA
BCB
ABA","A: ore:dustRedstone
B: minecraft:ender_eye
C: ore:obsidian",botania:endereyeblock,3,3
botania:enderhand,,"ABC
BDB
CB-","A: ore:manaPearl
B: ore:leather
C: ore:obsidian
D: minecraft:ender_chest",botania:enderhand,3,3
botania:exchangerod,,"-AB
-CA
C--","A: ore:stone
B: ore:runeSlothB
C: ore:livingwoodTwig",botania:exchangerod {},3,3
botania:felpumpkin,,"-A-
BCD
-E-","A: minecraft:string
B: minecraft:bone
C: minecraft:pumpkin
D: minecraft:rotten_flesh
E: minecraft:gunpowder",botania:felpumpkin,3,3
botania:firerod,,"--A
-B-
C--","A: minecraft:blaze_powder
B: ore:livingwoodTwig
C: ore:runeFireB",botania:firerod,3,3
botania:flighttiara_0,,"AAA
BAB
CDC","A: ore:eternalLifeEssence
B: ore:ingotElvenElementium
C: ore:feather
D: ore:bEnderAirBottle",botania:flighttiara,3,3
botania:flowerbag,,"ABA
A-A
-A-","A: minecraft:wool:*
B: botania:petal:*",botania:flowerbag,3,3
botania:forestdrum_0,,"ABA
ACA
ABA","A: ore:livingwood
B: ore:leather
C: botania:grasshorn",botania:forestdrum,3,3
botania:forestdrum_1,,"ABA
ACA
ABA","A: ore:dreamwood
B: ore:leather
C: ore:ingotElvenElementium",botania:forestdrum:1,3,3
botania:forestdrum_2,,"ABA
ACA
ABA","A: ore:livingwood
B: ore:leather
C: botania:grasshorn:1",botania:forestdrum:2,3,3
botania:foresteye,,"ABA
BCB
ABA","A: ore:ingotManasteel
B: ore:livingrock
C: minecraft:ender_eye",botania:foresteye,3,3
botania:glasspick,,"ABA
-C-
-C-","A: ore:blockGlassColorless
B: ore:ingotManasteel
C: ore:livingwoodTwig",botania:glasspick,3,3
botania:goddesscharm,,"-A-
-A-
BCD","A: ore:petalPink
B: ore:runeWaterB
C: ore:manaDiamond
D: ore:runeSpringB",botania:goddesscharm,3,3
botania:grasshorn_0,,"-A-
ABA
AA-","A: ore:livingwood
B: botania:grassseeds",botania:grasshorn,3,3
botania:gravityrod,,"-AB
-CA
A--","A: ore:dreamwoodTwig
B: ore:elvenDragonstone
C: ore:cropWheat",botania:gravityrod,3,3
botania:holycloak,,"AAA
BAB
BCB","A: minecraft:wool
B: ore:dustGlowstone
C: ore:eternalLifeEssence",botania:holycloak,3,3
botania:hourglass,,"ABA
CDC
ABA","A: ore:ingotGold
B: botania:managlass
C: ore:dustRedstone
D: ore:ingotManasteel",botania:hourglass,3,3
botania:icependant,,"AB-
B-B
CBD","A: ore:runeWinterB
B: ore:manaString
C: ore:ingotManasteel
D: ore:runeWaterB",botania:icependant,3,3
botania:incenseplate,,ABB,"A: ore:livingwood
B: botania:livingwood0slab",botania:incenseplate,3,1
botania:incensestick,,"--A
-B-
C--","A: minecraft:ghast_tear
B: minecraft:blaze_powder
C: ore:livingwoodTwig",botania:incensestick {},3,3
botania:invisibilitycloak,,"ABA
CBC
CDC","A: minecraft:prismarine_crystals
B: minecraft:wool
C: botania:managlass
D: ore:manaPearl",botania:invisibilitycloak,3,3
botania:itemfinder,,"-A-
ABA
ACA","A: ore:ingotIron
B: minecraft:ender_eye
C: ore:gemEmerald",botania:itemfinder,3,3
botania:knockbackbelt,,"AB-
B-B
CBD","A: ore:runeFireB
B: ore:leather
C: ore:ingotManasteel
D: ore:runeEarthB",botania:knockbackbelt,3,3
botania:laputashard_0,,"ABA
CDC
EAF","A: ore:eternalLifeEssence
B: botania:miniisland | botania:miniisland:1 | botania:miniisland:2 | botania:miniisland:3 | botania:miniisland:4 | botania:miniisland:5 | botania:miniisland:6 | botania:miniisland:7 | botania:miniisland:8 | botania:miniisland:9 | botania:miniisland:10 | botania:miniisland:11 | botania:miniisland:12 | botania:miniisland:13 | botania:miniisland:14 | botania:miniisland:15
C: ore:gemPrismarine
D: ore:elvenDragonstone
E: ore:runeAirB
F: ore:runeEarthB",botania:laputashard,3,3
botania:lavapendant,,"AB-
B-B
CBD","A: ore:runeSummerB
B: ore:manaString
C: ore:ingotManasteel
D: ore:runeFireB",botania:lavapendant,3,3
botania:lens_0_glass_pane,,"-A-
ABA
-A-","A: ore:ingotManasteel
B: ore:paneGlassColorless",botania:lens {},3,3
botania:lens_0_glass_block,,"-A-
ABA
-A-","A: ore:ingotManasteel
B: ore:blockGlassColorless",botania:lens {},3,3
botania:lens_12,,"ABA
ACA
AAA","A: ore:gemPrismarine
B: ore:runeAirB
C: botania:lens",botania:lens:12 {},3,3
botania:lens_13,,"AAA
ABA
ACA","A: ore:gemPrismarine
B: botania:lens
C: ore:runeWaterB",botania:lens:13 {},3,3
botania:lens_14,,"-A-
BCB
-A-","A: ore:ingotElvenElementium
B: minecraft:wool:*
C: botania:lens",botania:lens:14 {},3,3
botania:lens_17_alt,,"ABA
BCB
ABA","A: minecraft:fire_charge
B: ore:glowstone
C: botania:lens",botania:lens:17 {},3,3
botania:lens_17,,"ABA
BCB
ABA","A: ore:glowstone
B: minecraft:fire_charge
C: botania:lens",botania:lens:17 {},3,3
botania:lens_22,,"-A-
ABA
-A-","A: ore:paper
B: botania:lens",botania:lens:22 {},3,3
botania:lens_7,,"-A-
BCB
-D-","A: minecraft:piston
B: ore:gemLapis
C: botania:lens
D: ore:dustRedstone",botania:lens:7 {},3,3
botania:lightlauncher,,"AAA
ABA","A: ore:dreamwood
B: botania:lightrelay",botania:lightlauncher,3,2
botania:slab_recombine/livingrock_0,,"A
A",A: botania:livingrock0slab,botania:livingrock,1,2
botania:livingrock0slab_0,,AAA,A: botania:livingrock,botania:livingrock0slab x6,3,1
botania:livingrock0stairs,,"--A
-AA
AAA",A: botania:livingrock,botania:livingrock0stairs x8,3,3
botania:livingrock0wall,,"AAA
AAA",A: botania:livingrock,botania:livingrock0wall x6,3,2
botania:livingrock1slab_0,,AAA,A: botania:livingrock:1,botania:livingrock1slab x6,3,1
botania:livingrock1stairs,,"--A
-AA
AAA",A: botania:livingrock:1,botania:livingrock1stairs x8,3,3
botania:slab_recombine/livingrock_1,,"A
A",A: botania:livingrock1slab,botania:livingrock:1,1,2
botania:livingrock_1,,"AA
AA",A: ore:livingrock,botania:livingrock:1 x4,2,2
botania:livingrock_4,,"AA
AA",A: botania:livingrock:1,botania:livingrock:4 x4,2,2
botania:livingwood_0,,"A
A",A: botania:livingwood0slab,botania:livingwood,1,2
botania:livingwood0slab_0,,AAA,A: botania:livingwood,botania:livingwood0slab x6,3,1
botania:livingwood0stairs,,"--A
-AA
AAA",A: botania:livingwood,botania:livingwood0stairs x8,3,3
botania:livingwood0wall,,"AAA
AAA",A: botania:livingwood,botania:livingwood0wall x6,3,2
botania:livingwood1slab_0,,AAA,A: botania:livingwood:1,botania:livingwood1slab x6,3,1
botania:livingwood1stairs,,"--A
-AA
AAA",A: botania:livingwood:1,botania:livingwood1stairs x8,3,3
botania:livingwood_1_alt,,"A
A",A: botania:livingwood1slab,botania:livingwood:1,1,2
botania:livingwood_3,,"AA
AA",A: botania:livingwood:1,botania:livingwood:3 x4,2,2
botania:livingwood_4,,"-A-
A-A
-A-",A: botania:livingwood:1,botania:livingwood:4 x4,3,3
botania:livingwoodbow,,"-AB
A-B
-AB","A: ore:livingwoodTwig
B: ore:manaString",botania:livingwoodbow,3,3
botania:magnetring,,"AB-
B-B
-B-","A: botania:lens:10
B: ore:ingotManasteel",botania:magnetring,3,3
botania:manabomb,,"ABA
BCB
ABA","A: ore:livingwood
B: minecraft:tnt
C: ore:eternalLifeEssence",botania:manabomb,3,3
botania:manadetector,,"ABA
BCB
ABA","A: ore:dustRedstone
B: ore:livingrock
C: minecraft:comparator",botania:manadetector,3,3
botania:managlasspane,,"AAA
AAA",A: botania:managlass,botania:managlasspane x16,3,2
botania:managun,,"ABC
-DE
--D","A: botania:spreader:1
B: ore:runeManaB
C: ore:manaDiamond
D: ore:livingwood
E: minecraft:tnt",botania:managun {},3,3
botania:manamirror,,"-AB
-CD
E--","A: ore:manaPearl
B: ore:livingrock
C: ore:livingwoodTwig
D: ore:ingotTerrasteel
E: botania:manatablet",botania:manamirror:1000 {},3,3
botania:manaresource_0_alt,,"AAA
AAA
AAA",A: ore:nuggetManasteel,botania:manaresource,3,3
botania:manaresource_13,,"A
A",A: ore:dreamwood,botania:manaresource:13,1,2
botania:manaresource_14,,"-A-
ABA
-A-","A: ore:eternalLifeEssence
B: ore:ingotTerrasteel",botania:manaresource:14,3,3
botania:manaresource_22,,"AA
AA",A: ore:manaString,botania:manaresource:22,2,2
botania:manaresource_3,,"A
A",A: ore:livingwood,botania:manaresource:3,1,2
botania:manaresource_4_alt,,"AAA
AAA
AAA",A: ore:nuggetTerrasteel,botania:manaresource:4,3,3
